graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,7,6,5,4,1.0,1.0,1.0,1.0,4,3,0.3333333333333333,True,0.029712220188230276,0.10608352487906814,0.07290064403787255,0.687200431178894,0.2857142857142857,0.33333333333333337,2
1,synthetic:small,21,84,21,84,0.8888888888888888,0.6,0.8,1.0,16,16,0.0,True,0.15682532312348485,0.10735525470227003,0.07179149612784386,0.6687282921264014,0.0,0.0,0
2,synthetic:small,48,356,48,356,0.8780487804878049,0.8230958230958232,0.8,0.972972972972973,37,37,0.0,True,1.6214346112683415,1.195293877273798,1.1410762812010944,0.9546407815654825,0.0,0.0,0
3,synthetic:medium,75,225,71,211,0.822429906542056,0.8178963893249608,0.7586206896551724,0.8979591836734694,50,49,0.02040816326530612,True,0.49332819040864706,0.25985793163999915,0.21633012313395739,0.8324938237161676,0.05333333333333334,0.06222222222222218,10
4,erdos,5,4,3,2,1.0,1.0,1.0,1.0,3,2,0.5,True,0.027206148952245712,0.06597740575671196,0.07307422580197453,1.1075643997193783,0.4,0.5,2
5,synthetic:small,42,219,39,201,0.9032258064516129,0.9336870026525199,0.8484848484848485,0.9655172413793104,31,29,0.06896551724137931,True,0.7479807073250413,0.19593017175793648,0.11164211155846715,0.5698056126669265,0.07142857142857142,0.0821917808219178,15
6,synthetic:small,31,184,30,177,0.8846153846153846,0.8630952380952381,0.8214285714285714,0.9583333333333334,24,24,0.0,True,0.531954285223037,0.17244891403242946,0.20255408808588982,1.174574448452595,0.03225806451612903,0.03804347826086951,7
7,synthetic:small,32,128,32,128,0.8518518518518519,0.7922705314009661,0.7419354838709677,1.0,23,23,0.0,True,0.3157956418581307,0.09781204489991069,0.09588450798764825,0.9802934606444957,0.0,0.0,0
8,synthetic:medium,106,318,106,318,0.7885714285714286,0.4598511555033294,0.6509433962264151,1.0,69,69,0.0,True,0.6464666309766471,10.044887721072882,10.016042147763073,0.997128332928073,0.0,0.0,0
9,synthetic:small,34,102,34,102,0.84,0.7840909090909091,0.75,0.9545454545454546,22,22,0.0,True,0.22895052004605532,0.130889433901757,0.09746901225298643,0.7446667721562974,0.0,0.0,0
10,erdos,20,188,20,188,0.9473684210526315,0.9444444444444444,0.9,1.0,18,18,0.0,True,0.44800166692584753,0.27674323273822665,0.2756760139018297,0.9961436497440701,0.0,0.0,0
11,erdos,32,66,31,64,0.8444444444444444,0.8083333333333332,0.76,0.95,22,20,0.1,True,0.10749872727319598,0.07434926694259048,0.06798195280134678,0.9143594227208685,0.03125,0.030303030303030276,2
12,erdos,22,24,21,23,0.6086956521739131,0.5619834710743802,0.5833333333333334,0.6363636363636364,11,11,0.0,True,0.06216257391497493,0.08029063697904348,0.05944301234558225,0.7403479980000328,0.045454545454545456,0.04166666666666663,1
13,synthetic:medium,88,172,59,111,0.8461538461538461,0.9491255961844197,0.8048780487804879,0.8918918918918919,43,37,0.16216216216216217,True,0.5622245999984443,0.09938392834737897,0.09429429518058896,0.948788166744626,0.32954545454545453,0.35465116279069764,19
14,erdos,26,28,24,26,0.7142857142857143,0.7928994082840236,0.6666666666666666,0.7692307692307693,13,13,0.0,True,0.06740549812093377,0.10697404202073812,0.059278709813952446,0.5541410672549945,0.07692307692307693,0.0714285714285714,2
15,erdos,12,11,12,11,0.46153846153846156,0.4027777777777778,0.42857142857142855,0.5,6,6,0.0,True,0.0316003761254251,0.08104364294558764,0.06566414376720786,0.8102318871733653,0.0,0.0,0
16,synthetic:small,49,138,43,121,0.8571428571428571,0.8689655172413793,0.7941176470588235,0.9310344827586207,32,29,0.10344827586206896,True,0.3409355450421572,0.20259961811825633,0.14642559504136443,0.7227338155982929,0.12244897959183673,0.12318840579710144,13
17,synthetic:medium,58,165,48,134,0.8307692307692308,0.9238095238095237,0.7714285714285715,0.9,32,30,0.06666666666666667,True,0.4900322421453893,0.10838000290095806,0.10673421015962958,0.9848146088090396,0.1724137931034483,0.18787878787878787,14
18,synthetic:medium,127,3102,127,3102,0.9504132231404959,0.5898550724637681,0.905511811023622,1.0,116,116,0.0,True,85.2509324811399,60.53052451694384,61.915151971857995,1.0228748629879552,0.0,0.0,0
19,erdos,19,31,18,30,0.7692307692307693,0.8409090909090908,0.6666666666666666,0.9090909090909091,11,11,0.0,True,0.04542174329981208,0.09513380285352468,0.06940356502309442,0.7295363261148456,0.05263157894736842,0.032258064516129004,1
