feature,importance
f86,73.00308227539062
f14,33.355411529541016
f94,20.442495346069336
f88,15.009705543518066
f105,11.942184448242188
f16,11.843883514404297
f89,11.733853340148926
f100,11.033108711242676
f92,9.63174819946289
f1,7.621314525604248
f102,7.539287090301514
f103,7.153552532196045
f97,7.072819232940674
f0,6.749607563018799
f13,5.797126770019531
f22,4.985923767089844
f37,4.7024078369140625
f104,4.442647457122803
f95,4.309126377105713
f93,4.167631149291992
f87,4.049255847930908
f91,3.9032421112060547
f96,3.8840603828430176
f98,3.755584716796875
f30,3.5993030071258545
f29,3.567784309387207
f99,3.4793155193328857
f34,3.4186341762542725
f35,3.4129438400268555
f21,3.392622470855713
f33,3.318336248397827
f101,3.28363037109375
f90,3.2644097805023193
