feature,importance
f86,48.362220764160156
f14,29.29026985168457
f90,12.840625762939453
f87,12.549933433532715
f88,9.343214988708496
f94,8.899840354919434
f99,8.601492881774902
f102,8.20094108581543
f89,7.8303704261779785
f92,7.438620090484619
f100,6.399659633636475
f103,5.942744255065918
f97,5.326115131378174
f105,5.239485263824463
f16,5.202557563781738
f1,4.845966815948486
f95,4.649287700653076
f96,4.498889923095703
f0,4.35022497177124
f13,4.1672210693359375
f104,3.8299129009246826
f93,3.8143980503082275
f22,3.733431816101074
f98,3.3364980220794678
f101,3.2306246757507324
f29,3.1425833702087402
f91,3.1361241340637207
f34,3.117565155029297
f33,2.9343011379241943
f30,2.932818651199341
f35,2.910186767578125
f37,2.849874496459961
f21,2.7250797748565674
