feature,importance
f86,38.40772247314453
f14,36.99662399291992
f94,15.207698822021484
f105,8.248750686645508
f100,8.244308471679688
f102,8.086955070495605
f88,7.714153289794922
f97,7.520812511444092
f89,6.64433479309082
f92,5.323101997375488
f16,5.176636695861816
f1,4.938066005706787
f0,4.064482688903809
f87,3.8385095596313477
f104,3.8313353061676025
f90,3.7962446212768555
f103,3.765699863433838
f96,3.5432426929473877
f98,3.5301613807678223
f22,3.483973503112793
f93,3.4316186904907227
f95,3.4086151123046875
f13,3.405881404876709
f30,3.2596144676208496
f29,3.2247653007507324
f33,3.2199647426605225
f99,3.149808883666992
f91,3.1064131259918213
f34,2.9632694721221924
f37,2.9455275535583496
f21,2.8962621688842773
f101,2.6464855670928955
f35,2.6248247623443604
